,Time-to-edit,Segment,Suggestion,Translation,words
2,228409,"Legislative, executive, and judicial powers are all covered by the Act, it is applicable also to local municipalities, legal persons in public law (such as universities, professional bodies of such status, state foundations), and to the leadership of enterprises owned by state or municipalities.","La loi régit tous les pouvoirs législatifs, exécutifs et judiciaires. Elle s'applique également aux municipalités locales, aux personnes morales de droit public (telles que les universités, les organismes professionnels d'un tel statut, les fondations d'État) et à la direction d'entreprises appartenant à Etat ou municipalités.","La loi régit tous les pouvoirs législatifs, exécutifs et judiciaires. Elle s'applique également aux municipalités locales, aux personnes morales de droit public (telles que les universités, les organismes professionnels, les fondations d'État) et à la direction d'entreprises appartenant à l'Etat ou aux municipalités.",44
14,57656,:: The share of e-procurements in public procurements has increased constantly.,:: La part des marchés publics électroniques dans les marchés publics n'a cessé d'augmenter.,::  La part des marchés publics électroniques dans les marchés publics n'a cessé d'augmenter.,11
19,78523,The protection of whistle-blowers is currently regulated by § 6 of the Anti-corruption Act (Notification of public or private sector incidents of corruption).,La protection des lanceurs d'alerte est actuellement régie par l'article 6 de la loi anti-corruption (Notification d'incidents de corruption dans le secteur public ou privé).,La protection des lanceurs d'alerte est actuellement régie par l'article 6 de la loi anti-corruption (Notification d'incidents de corruption dans le secteur public ou privé).,23
39,84619,The base funding of 500 000 euros per year for gender equality has been granted by the Government starting from 2019.,Un financement de base de 500 000 euros par an pour l 'égalité des sexes a été octroyé par le gouvernement à partir de 2019.,Un financement de base de 500 000 euros par an  pour  l'égalité des sexes a été octroyé par le gouvernement à partir de 2019.,21
42,136759,"Under the gender equality sub-objective of the ""Welfare Development Plan 2016 - 2023"" and its action plan, one of the focus areas is a balanced participation of women and men on all levels of decision-making in politics.","Au titre du sous-objectif  Plan de développement de la prévoyance sociale 2016-2023» et de son plan d'action relatifs à l'égalité des sexes, l'un des domaines prioritaires est la participation équilibrée des femmes et des hommes à tous les niveaux de la prise de décision en politique.","Au titre du sous-objectif d'égalité des sexes du  Plan de développement de la protection sociale 2016-2023 » et de son plan d'action relatif à l'égalité des sexes, l'un des domaines prioritaires est la participation équilibrée des femmes et des hommes à tous les niveaux de la prise de décision en politique.",37
43,174473,Awareness-raising measures will be implemented in the coming years to raise awareness of entrepreneurs about a need and possibilities to improve gender balance in a management level of organisations.,Des mesures de sensibilisation seront mises en œuvre dans les années à venir pour sensibiliser les entrepreneurs à la nécessité et aux possibilités d'améliorer l 'équilibre hommes-femmes au niveau de la gestion des organisations.,Des mesures de sensibilisation seront mises en œuvre dans les années à venir pour sensibiliser les entrepreneurs à la nécessité et aux possibilités d'améliorer l'équilibre hommes-femmes au niveau de la gestion des organisations.,29
56,48731,There are also less women than men on the management level of organisations.,Il y a aussi moins de femmes que d'hommes au niveau de la gestion des organisations.,Il y a aussi moins de femmes que d'hommes au niveau de direction des organisations.,13
59,190315,aimed at female entrepreneurs is being implemented by the Estonian Association of Business and Professional Women (BPW Estonia) in cooperation with partners with an aim to give 100 new female entrepreneurs to Estonia as a gift on its 100th anniversary.,L’Association estonienne des femmes d’affaires et professionnelles (BPW Estonie) met actuellement en œuvre des programmes destinés aux femmes chefs d’entreprise en coopération avec des partenaires dans le but de donner à l’Estonie 100 nouvelles femmes chefs d’entreprise en cadeau à l’occasion de son 100e anniversaire.,L’Association estonienne des femmes d’affaires et professionnelles (BPW Estonie) met actuellement en œuvre des programmes destinés aux femmes entrepreneuses en coopération avec des partenaires dans le but d'offrir 100 nouvelles femmes entrepreneuses à l'Estonie à l’occasion de son 100e anniversaire.,40
61,112898,"The objective of the activities of BPW is to create and maintain social values by contributing to the development of entrepreneurial women, acknowledging and promoting the equality and employment of women and men, and the protection of children.","Les activités de BPW ont pour objectif de créer et de préserver les valeurs sociales en contribuant au développement des femmes chefs d’entreprise, en reconnaissant et en promouvant l’égalité et l’emploi des femmes et des hommes et en protégeant les enfants.","Les activités de BPW ont pour objectif de créer et de préserver les valeurs sociales en contribuant au développement des femmes entrepreneuses, en reconnaissant et en promouvant l’égalité et l’emploi des femmes et des hommes et en protégeant les enfants.",38
65,194636,Promoting apprenticeships and work-based learning and encouraging employers and VET institutions to work together is one of the key objectives set out in Estonia's lifelong learning strategy for 2020.,Promouvoir l'apprentissage et l 'apprentissage basé sur le travail et encourager les employeurs et les établissements d'enseignement et de formation professionnels à travailler ensemble est l'un des objectifs clés de la stratégie d' apprentissage tout au long de la vie de l'Estonie pour 2020.,"L'un des objectifs clés de la stratégie de formation tout au long de la vie de l'Estonie pour 2020 est de promouvoir l'apprentissage et la formation au travail, et encourager les employeurs et les établissements d'enseignement et de formation professionnels à travailler ensemble.",29
