,Time-to-edit,Segment,Suggestion,Translation,words
9,17609,"Several agencies and entities have trained their officials regarding anti-corruption policy, and adopted internal guidelines and mechanisms to identify and solve risky situations.",Plusieurs agences et entités ont formé leurs responsables à la politique de lutte contre la corruption et adopté des directives et des mécanismes internes pour identifier et résoudre les situations à risque.,Plusieurs agences et entités ont formé leurs responsables à la politique de lutte contre la corruption et adopté des directives et des mécanismes internes pour identifier et résoudre les situations à risque.,23
11,11752,:: The Estonian Academy of Security Sciences has carried out 10 training events in 2017 for 199 people;,:: L'Académie estonienne des sciences de la sécurité a organisé 10 événements de formation en 2017 pour 199 personnes;,::  L'Académie estonienne des sciences de la sécurité a organisé 10 événements de formation en 2017 pour 199 personnes ;,18
30,14504,"The overall conclusion of the study is that the awareness of GEA among employers is low, only 4% claimed that they are well aware of this law.",La conclusion générale de l’étude est que les employeurs sont peu sensibilisés à la GEA; seuls 4% d’entre eux ont déclaré connaître parfaitement cette loi.,La conclusion générale de l’étude est que les employeurs sont peu sensibilisés à la GEA ; seuls 4 % d’entre eux ont déclaré connaître parfaitement cette loi.,27
53,13811,"In 2017, 55% of mid-level managers or heads of departments in Estonian ministries were women and 45% were men.","En 2017, 55% des cadres moyens ou chefs de département dans les ministères estoniens étaient des femmes et 45% des hommes.","En 2017, 55 % des cadres moyens ou chefs de département dans les ministères estoniens étaient des femmes et 45 % des hommes.",19
54,11826,"21% of senior managers, i.e. secretaries general and deputy secretaries general, were women and 79% were men.","21% des cadres supérieurs, à savoir les secrétaires généraux et les secrétaires généraux adjoints, étaient des femmes et 79% des hommes.","21 % des cadres supérieurs, à savoir les secrétaires généraux et les secrétaires généraux adjoints, étaient des femmes et 79 % des hommes.",17
55,10414,"Internationally, the EIGE (European Institute for Gender Equality) publishes statistics about the share of men and women in ministries (https://eige.europa.eu/gender-statistics/dgs/browse/wmidm).","À l'échelle internationale, l'Institut européen pour l'égalité entre les hommes et les femmes (EIGE) publie des statistiques sur la proportion d'hommes et de femmes dans les ministères (https://eige.europa.eu/gender-statistics/dgs/browse/wmidm).","À l'échelle internationale, l'Institut européen pour l'égalité entre les hommes et les femmes (EIGE) publie des statistiques sur la proportion d'hommes et de femmes dans les ministères (https://eige.europa.eu/gender-statistics/dgs/browse/wmidm).",20
71,13568,OSKA analyses the needs for labour and skills necessary for Estonia's economic development over the next 10 years.,OSKA analyse les besoins en main-d'œuvre et en compétences nécessaires au développement économique de l'Estonie au cours des dix prochaines années.,OSKA analyse les besoins en main-d'œuvre et en qualifications nécessaires au développement économique de l'Estonie au cours des dix prochaines années.,18
72,66705,"The aim of highlighting future labour market trends is to encourage debates in all parts of society on factors affecting changes in working life, to create the context for and open new lines of thought in relation to forecasting labour requirements in different industries and to provide input to discussions on future training needs.","La mise en lumière des tendances futures du marché du travail a pour objectif d’encourager le débat dans tous les secteurs de la société sur les facteurs affectant les changements de la vie professionnelle, de créer le contexte et d’ouvrir de nouvelles pistes de réflexion en ce qui concerne la prévision des besoins en main-d’œuvre dans différents secteurs et de contribuer aux discussions sur les besoins futurs en formation.","La mise en lumière des tendances futures du  marché du travail a pour objectif d’encourager le débat dans tous les secteurs de la société sur les facteurs affectant les changements de la vie professionnelle, de créer un contexte favorable, d’ouvrir de nouvelles pistes de réflexion en ce qui concerne la prévision des besoins en main-d’œuvre dans différents secteurs et de contribuer aux discussions sur les besoins futurs en formation.",54
75,67787,"Making forecasts with regard to societal needs will take into account demographic factors by measuring the size of youth groups, projecting the number of graduates (the division of basic school and upper secondary school graduates) and making allowances for regional distribution of populations and educational migration.","Les prévisions relatives aux besoins de la société prendront en compte les facteurs démographiques en mesurant la taille des groupes de jeunes, en projetant le nombre de diplômés (division des diplômés de l’ enseignement de base et du deuxième cycle du secondaire) et en tenant compte de la répartition régionale des populations et de la migration scolaire.","Les prévisions relatives aux besoins de la société prendront en compte les facteurs démographiques en mesurant la taille des groupes de jeunes, en projetant le nombre de diplômés (la répartition des diplômés de l’enseignement de base et du deuxième cycle du secondaire) et en tenant compte de la répartition régionale des populations et de la migration scolaire.",46
76,49743,"Language skills also have an effect on persons' labour market position  --  in 2017 unemployment rate of non-Estonians with proficiency in Estonian was 7,3%, while of those with no proficiency the unemployment rate was almost twice as high at 13%.","Les compétences linguistiques ont également un effet sur la position des personnes sur le marché  du travail: en 2017, le taux de chômage des non-Estoniens maîtrisant l'estonien s'élevait à 7,3%, tandis que le taux de chômage de ceux sans maîtrise était presque deux fois plus élevé, à 13%.","Les compétences linguistiques ont également un effet sur le positionnement des personnes sur le marché   du travail : en 2017, le taux de chômage des non-Estoniens maîtrisant l'estonien s'élevait à 7,3 %, tandis que le taux de chômage de ceux ne le maîtrisant pas était presque deux fois plus élevé, à 13 %.",40
