,Time-to-edit,Segment,Suggestion,Translation,words
3,255455,"Representatives of the following United Nations Economic Commission for Europe (UNECE) member States participated: Austria, Bosnia and Herzegovina, Bulgaria, Czech Republic, Germany, Greece, Italy, Kazakhstan, Netherlands, Poland, Republic of Moldova, Romania, Russian Federation, Slovakia, Switzerland, the former Yugoslav Republic of Macedonia and Turkey.","Participaron representantes de los siguientes Estados miembros de la Comisión Económica para Europa de las Naciones Unidas (CEPE): Austria, Bosnia y Herzegovina, Bulgaria, República Checa, Alemania, Grecia, Italia, Kazajstán, Países Bajos, Polonia, República de Moldova, Rumania, Federación de Rusia, Eslovaquia , Suiza, la ex República Yugoslava de Macedonia y Turquía.","Participaron representantes de los siguientes Estados miembros de la Comisión Económica de las Naciones Unidas para Europa (CEPE): Austria, Bosnia y Herzegovina, Bulgaria, República Checa, Alemania, Grecia, Italia, Kazajistán, Países Bajos, Polonia, República de Moldavia, Rumania, Federación de Rusia, Eslovaquia , Suiza, la exrepública yugoslava de Macedonia y Turquía.",43
7,210906,"The following intergovernmental organizations were represented: Centre for Transportation Studies for the Western Mediterranean (CETMO), Organization for Co-operation between Railways (OSJD), Organization of the Black Sea Economic Cooperation (BSEC) and the South East Europe Transport Observatory (SEETO).","Estuvieron representadas las siguientes organizaciones intergubernamentales: Centro de Estudios de Transporte para el Mediterráneo Occidental (CETMO), Organización de Cooperación entre Ferrocarriles (OSJD), Organización de Cooperación Económica del Mar Negro (BSEC) y Observatorio de Transporte del Sudeste de Europa (SEETO) .","Estuvieron representadas las siguientes organizaciones intergubernamentales: Centro de Estudios de Transporte para el Mediterráneo Occidental (CETMO), Organización para la Cooperación entre Ferrocarriles (OSJD), Organización para la Cooperación Económica del Mar Negro (BSEC) y Observatorio de los Transportes del Sudeste de Europa (SEETO) .",37
9,316207,"The following attended the meeting at the invitation of the secretariat: Democritus University of Thrace, Moscow State University for Transport Engineering, PLASKE JSC, Community of European Railway and Infrastructure Companies (CER aisbl), CMS Cameron McKenna LLP, EuroMed Transport Support Project, Fluidtime Data Services GmbH, Transcontainer Europe, GmbH and Uber.","Asistieron a la reunión, por invitación de la secretaría: la Universidad Demócrito de Tracia, la Universidad Estatal de Moscú de Ingeniería del Transporte, PLASKE JSC, la Comunidad Europea de Empresas de Ferrocarriles e Infraestructura (CER aisbl), CMS Cameron McKenna LLP, Proyecto de Apoyo al Transporte EuroMed, Fluidtime Data Services GmbH, Transcontainer Europe, GmbH y Uber.","Asistieron a la reunión, por invitación de la secretaría: la Universidad Demócrito de Tracia, la Universidad Estatal de Moscú de Ingeniería del Transporte, PLASKE JSC, la Comunidad de Ferrocarriles y Empresas de Infraestructura Europeos (CER aisbl), CMS Cameron McKenna LLP, Proyecto de Apoyo al Transporte EuroMed, Fluidtime Data Services GmbH, Transcontainer Europa, GmbH y Uber.",49
15,76550,"Workshop on ""Transport Infrastructure Corridors along Europe and Asia"" (agenda item 2)",Taller sobre ;Corredores de infraestructura de transporte en Europa y Asia; (tema 2 del programa),Taller sobre los Corredores de Infraestructura de Transporte en Europa y Asia» (tema 2 del programa),12
26,336290,"Were informed about the one belt one road initiative which focuses on Asian, European and African continents but is open to all countries for regional economic cooperation and common prosperity as well as works towards connectivity of policy, infrastructure, trade, finance and people-to-people.","Se nos informó sobre la iniciativa one belt one road que se centra en los continentes de Asia, Europa y África, pero está abierta a todos los países para la cooperación económica regional y la prosperidad común, así como para la conectividad de políticas, infraestructura, comercio, finanzas y personas a gente.","Fueron informados sobre la iniciativa one belt one road» que se centra en los continentes de Asia, Europa y África, pero está abierta a todos los países para la cooperación económica regional y la prosperidad común, así como de los trabajos para la conectividad de políticas, infraestructura, comercio, finanzas y entre personas.",43
28,50547,Were informed about the Orient-East Med corridor.,Fueron informados sobre el corredor Oriente-Oriente.,Fueron informados sobre el corredor Oriente-Mediterráneo Oriental.,7
33,339606,"Recalled the BSEC road infrastructure project ""the Black Sea Ring Highway"" which refers to coordinated efforts of BSEC member States for upgrading to high standards of almost 7,5 thousand km of highway around the Black Sea, connecting its main cities and ports and facilitating the transport of goods, containers and other freights to and from these ports;","Recordó el proyecto de infraestructura vial BSEC ;la carretera del anillo del Mar Negro;, que se refiere a los esfuerzos coordinados de los Estados miembros de la BSEC para mejorar los altos estándares de casi 7,5 mil km de carretera alrededor del Mar Negro, que conecta sus principales ciudades y puertos y facilita la transporte de mercancías, contenedores y otras cargas hacia y desde estos puertos;","Recordaron el proyecto de infraestructura vial de la BSEC, Carretera-Anillo del Mar Negro», que se refiere a los esfuerzos coordinados de los Estados miembros de la BSEC para mejorar los altos estándares de los casi 7500 km de carretera alrededor del Mar Negro, que conecta sus principales ciudades y puertos y facilita la transporte de mercancías, contenedores y otras cargas hacia y desde estos puertos;",57
61,300939,(d) Were informed that today ride  -  hailing accounts for 4 per cent of all miles driven globally.,"(d) Se nos informó que en el día de hoy, el viaje, el 4% de las millas recorridas en todo el mundo, son responsables de las llamadas.",(d) Fueron informados que el 4 por ciento de las millas recorridas en todo el mundo recaen en las las compañías cooperativas de taxis.,18
70,161272,"With a consistent policy for the promotion and protection of human rights, Viet Nam attaches great importance to the UPR.","Con una política consistente para la promoción y protección de los derechos humanos, Viet Nam otorga gran importancia al UPR.","Con una política consistente para la promoción y protección de los derechos humanos, Vietnam otorga gran importancia al UPR.",20
91,74761,The 2013 Constitution is the continuation and development of regulations governing human rights and the rights of citizens.,La Constitución de 2013 es la continuación y el desarrollo de las normas que regulan los derechos humanos y los derechos de los ciudadanos.,La Constitución de 2013 es la continuación y el desarrollo de las normas que regulan los derechos humanos y los derechos de los ciudadanos.,18
