,Time-to-edit,Segment,Suggestion,Translation,words
18,18659,"The participants agreed that despite the numerous initiatives that exist and operate for transport corridors development along Europe and Asia, cooperation among these initiatives is very low or non-existent.","Los participantes acordaron que a pesar de las numerosas iniciativas que existen y operan para el desarrollo de corredores de transporte en Europa y Asia, la cooperación entre estas iniciativas es muy baja o inexistente.","Los participantes acordaron que a pesar de las numerosas iniciativas que existen y operan para el desarrollo de corredores de transporte en Europa y Asia, la cooperación entre estas iniciativas es muy baja o inexistente.",29
20,55197,"This year's workshop was a follow up to the above mentioned actions and experts had the opportunity to share their experience from corridors development, to contribute on the discussions on how to strengthen cooperation as well as discuss the principles that the transport infrastructure observatory should follow to facilitate cooperation among the different initiatives.","El taller de este año fue un seguimiento de las acciones mencionadas anteriormente y los expertos tuvieron la oportunidad de compartir su experiencia en el desarrollo de corredores, contribuir con las discusiones sobre cómo fortalecer la cooperación y discutir los principios que debe seguir el observatorio de infraestructura de transporte  para facilitar La cooperación entre las diferentes iniciativas.","El taller de este año fue un seguimiento de las acciones mencionadas anteriormente y los expertos tuvieron la oportunidad de compartir su experiencia en el desarrollo de corredores, contribuir con las discusiones sobre cómo fortalecer la cooperación y discutir los principios que debe seguir el observatorio de infraestructura de transporte   para facilitar la cooperación entre las diferentes iniciativas.",54
32,25005,"The implementation of the project will allow for the creation of the shortest transport link between the countries of the Middle East and South-East Europe with the Baltic states, thereby contributing to the launch of the New Silk Road initiative;","La implementación del proyecto permitirá la creación del enlace de transporte más corto entre los países del Medio Oriente y el sudeste de Europa con los estados bálticos, contribuyendo así al lanzamiento de la iniciativa Nueva Ruta de la Seda;","La implementación del proyecto permitirá la creación del enlace de transporte más corto entre los países del Medio Oriente y el sudeste de Europa con los estados bálticos, contribuyendo así al lanzamiento de la iniciativa de la Nueva Ruta de la Seda;",40
34,68073,"Recalled also the BSEC maritime project ""Motorways of the Sea"" aimed at upgrading of port infrastructure, implementation of good practices, increased compatibility and interconnectivity of traffic control systems, intermodality of transports, safeguarding free and fair competition in international shipping, in which 43 ports in the Black Sea, the Adriatic, the Mediterranean and the Aegean seas expressed interest to participate;","Recordó también el proyecto marítimo BSEC ;Autopistas del mar; destinado a mejorar la infraestructura portuaria, implementar buenas prácticas, aumentar la compatibilidad e interconectividad de los sistemas de control de tráfico, intermodalidad de los transportes, salvaguardar la competencia libre y justa en el transporte marítimo internacional, en el que 43 puertos en el Mar Negro, el Adriático, el Mediterráneo y el Mar Egeo expresaron interés en participar;","Recordaron también el proyecto marítimo de la BSEC, Autopistas del Mar», destinado a mejorar la infraestructura portuaria, implementar buenas prácticas, aumentar la compatibilidad e interconectividad de los sistemas de control de tráfico, la intermodalidad de los transportes, salvaguardar la competencia libre y justa en el transporte marítimo internacional, en el que 43 puertos en el Mar Negro, el Adriático, el Mediterráneo y el Mar Egeo expresaron interés en participar;",59
50,40206,"During its twenty-ninth session (Geneva, 5-7 September 2016) the Working Party while discussing the transport trends and challenges in the road sector requested the secretariat to organize at its next session a workshop on Mobility as a Service (MaaS).","Durante su vigésimo noveno período de sesiones (Ginebra, 5 a 7 de septiembre de 2016), el Grupo de Trabajo, al examinar las tendencias y los desafíos del transporte en el sector vial, solicitó a la secretaría que organizara en su próximo período de sesiones un taller sobre la movilidad como servicio (MaaS).","Durante su vigésimo noveno período de sesiones en Ginebra, del 5 al 7 de septiembre de 2016, el Grupo de Trabajo, al examinar las tendencias y los desafíos del transporte en el sector vial, solicitó a la secretaría que organizara en su próximo período de sesiones un taller sobre la Movilidad como Servicio (MaaS).",39
53,36534,"Besides Uber, Didi Dache of China, which has more than 100 million users in 300 cities, raised more than $800 million and Ola, India's biggest online cab service, has raised $677 million so far (McKinsey&amp;Company, 2017).","Además de Uber, Didi Dache de China, que tiene más de 100 millones de usuarios en 300 ciudades, recaudó más de $ 800 millones y Ola, el mayor servicio de taxis en línea de la India, ha recaudado $ 677 millones hasta ahora (McKinsey &amp; Company, 2017).","Además de Uber, Didi Dache de China, que tiene más de 100 millones de usuarios en 300 ciudades, recaudó más de $800 millones y Ola, el mayor servicio de taxis en línea de la India, ha recaudado $677 millones hasta la fecha (McKinsey &amp; Company, 2017).",36
57,23586,"For the user, MaaS can offer added value through use of a single application to provide access to mobility, with a single payment channel instead of multiple ticketing and payment operations;","Para el usuario, MaaS puede ofrecer un valor agregado mediante el uso de una sola aplicación para proporcionar acceso a la movilidad, con un único canal de pago en lugar de múltiples operaciones de emisión de boletos y pagos;","Para el usuario, MaaS puede ofrecer un valor agregado mediante el uso de una sola aplicación para proporcionar acceso a la movilidad, con un único canal de pago en lugar de múltiples operaciones de emisión de boletos y pagos;",31
58,28220,"(b) Recalled that there are more than 1,200,000,000 cars in the world, 22 per cent of all carbon emissions come from transportation and that cars are idle 95 per cent of the time;","(b) Recordó que hay más de 1,200,000,000 de automóviles en el mundo, el 22 por ciento de todas las emisiones de carbono provienen del transporte y que los automóviles están inactivos el 95 por ciento de las veces;","(b) Recordaron que hay más de 1.200.000.000 de automóviles en el mundo, el 22 por ciento de todas las emisiones de carbono provienen del transporte y que los automóviles están inactivos el 95 por ciento de las veces;",33
69,21262,It thanked the experts for their participation and requested the secretariat to make sure that the topic should be addressed in Working Party's agenda on a regular basis.,Agradeció a los expertos su participación y solicitó a la secretaría que se asegurara de que el tema se tratara en la agenda del Grupo de Trabajo de manera regular.,Agradeció a los expertos su participación y solicitó a la secretaría que se asegurara de que el tema se tratara en el programa del Grupo de Trabajo de manera regular.,28
81,34196,"This Report's reference material is derived from the mid-term report, reports of workshops related to the implementation of the recommendations, the 2017 VNR Report and country reports on the implementation of international human rights conventions to which Viet Nam is party from 2014 to 2018.","El material de referencia de este Informe se deriva del informe de mitad de período, los informes de los talleres relacionados con la implementación de las recomendaciones, el Informe VNR 2017 y los informes de los países sobre la implementación de las convenciones internacionales de derechos humanos en las que Viet Nam es parte desde 2014 hasta 2018.","El material de referencia de este Informe se deriva del informe de mitad de período, los informes de los talleres relacionados con la implementación de las recomendaciones, el Informe VNR 2017 y los informes de los países sobre la implementación de las convenciones internacionales de derechos humanos en las que Vietnam es parte desde 2014 hasta 2018.",45
84,37527,"Many organizations and individuals had contributed to the Report via email and at consultative workshops, including the workshop organized by MOFA in July 2018, by the city of Da-Nang in September 2018, and other workshops related to the UPR recommendations organized by other ministries in 2018.","Muchas organizaciones e individuos contribuyeron al Informe por correo electrónico y en talleres de consulta, incluido el taller organizado por el Ministerio de Relaciones Exteriores en julio de 2018, por la ciudad de Da-Nang en septiembre de 2018, y otros talleres relacionados con las recomendaciones del EPU organizados por otros ministerios en 2018.","Muchas organizaciones e individuos contribuyeron al Informe por correo electrónico y en talleres de consulta, incluido el taller organizado por el Ministerio de Relaciones Exteriores en julio de 2018, por la ciudad de Da-Nang en septiembre de 2018, y otros talleres relacionados con las recomendaciones UPR organizados por otros ministerios en 2018.",46
88,32295,"The respect for, and protection and promotion of human rights have been consistently mainstreamed in Viet Nam's socio-economic development strategies and policies, the Strategy for Judicial Reform and the implementation of Viet Nam's international obligations and commitments, including the accepted UPR recommendations.","El respeto, la protección y la promoción de los derechos humanos se han incorporado sistemáticamente en las estrategias y políticas de desarrollo socioeconómico de Viet Nam, la Estrategia de Reforma Judicial y la implementación de las obligaciones y compromisos internacionales de Viet Nam, incluidas las recomendaciones aceptadas del UPR.","El respeto, la protección y la promoción de los derechos humanos se han incorporado sistemáticamente en las estrategias y políticas de desarrollo socioeconómico de Vietnam, la Estrategia de Reforma Judicial y la implementación de las obligaciones y compromisos internacionales de Vietnam, incluidas las recomendaciones UPR aceptadas.",42
98,228562,"Many important laws were adopted, including: Law on the Organization of the People's Procuracy (2014), Law on the Organization of the People's Court (2014), Housing Law (2014), Criminal Code (2015), Criminal Procedure Code (2015), Civil Code (2015), Civil Procedure Code (2015), Law on Administrative Procedures (2015), Law on the Organization of Criminal Investigation Agencies (2015), Law on Custody and Temporary Detention (2015), Law on Referendum (2015), Law on Beliefs and Religions (2016), Law on Children (2016), Press Law (2016), Law on Access to Information (2016), Law on the Administration and Use of Weapons, Explosives and Their Accessories (2017), Law on the State's Obligation to Compensation (2017), Law on Legal Assistance (2017), and Law on Cybersecurity (2018).","Se aprobaron muchas leyes importantes, entre ellas: Ley de la Fiscalía Popular (2014), Ley de la Organización del Tribunal Popular (2014), Ley de Vivienda (2014), Código Penal (2015), Código de Procedimiento Penal (2015) , Código Civil (2015), Código de Procedimiento Civil (2015), Ley de Procedimientos Administrativos (2015), Ley de la Organización de Agencias de Investigación Criminal (2015), Ley de Custodia y Detención Temporal (2015), Ley de Referéndum (2015) , Ley de Creencias y Religiones (2016), Ley de Niños (2016), Ley de Prensa (2016), Ley de Acceso a la Información (2016), Ley de Administración y Uso de Armas, Explosivos y sus Accesorios (2017), Ley sobre la obligación estatal de indemnización (2017), la Ley de asistencia jurídica (2017) y la Ley de ciberseguridad (2018).","Se aprobaron muchas leyes importantes, entre ellas: Ley de la Organización de la Fiscalía Popular (2014), Ley de la Organización del Tribunal Popular (2014), Ley de Vivienda (2014), Código Penal (2015), Código de Procedimiento Penal (2015) , Código Civil (2015), Código de Procedimiento Civil (2015), Ley de Procedimientos Administrativos (2015), Ley de la Organización de las Agencias de Investigación Criminal (2015), Ley de Custodia y Detención Temporal (2015), Ley de Referéndum (2015) , Ley de Creencias y Religiones (2016), Ley de Niños (2016), Ley de Prensa (2016), Ley de Acceso a la Información (2016), Ley de Administración y Uso de Armas, Explosivos y sus Accesorios (2017), Ley sobre la Obligación Estatal de Indemnización (2017), la Ley de Asistencia Jurídica (2017) y la Ley de Ciberseguridad (2018).",116
